grupo,url,file,size_mb,status
rendimento,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/2024/tx_rend_escolas_2024.zip,tx_rend_escolas_2024.zip,69.731077,downloaded
transicao,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/taxa_transicao/tx_transicao_brasil_regioes_ufs_2007_2008.zip,tx_transicao_brasil_regioes_ufs_2007_2008.zip,0.180263,skipped
transicao,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/taxa_transicao/tx_transicao_municipios_2007_2008.zip,tx_transicao_municipios_2007_2008.zip,18.760274,skipped
transicao,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/taxa_transicao/tx_transicao_brasil_regioes_ufs_2008_2009.zip,tx_transicao_brasil_regioes_ufs_2008_2009.zip,0.179662,skipped
transicao,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/taxa_transicao/tx_transicao_municipios_2008_2009.zip,tx_transicao_municipios_2008_2009.zip,18.676941,skipped
transicao,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/taxa_transicao/tx_transicao_brasil_regioes_ufs_2009_2010.zip,tx_transicao_brasil_regioes_ufs_2009_2010.zip,0.178504,skipped
transicao,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/taxa_transicao/tx_transicao_municipios_2009_2010.zip,tx_transicao_municipios_2009_2010.zip,18.497447,skipped
transicao,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/taxa_transicao/tx_transicao_brasil_regioes_ufs_2010_2011.zip,tx_transicao_brasil_regioes_ufs_2010_2011.zip,0.175384,skipped
transicao,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/taxa_transicao/tx_transicao_municipios_2010_2011.zip,tx_transicao_municipios_2010_2011.zip,18.315143,skipped
transicao,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/taxa_transicao/tx_transicao_brasil_regioes_ufs_2011_2012.zip,tx_transicao_brasil_regioes_ufs_2011_2012.zip,0.175897,skipped
transicao,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/taxa_transicao/tx_transicao_municipios_2011_2012.zip,tx_transicao_municipios_2011_2012.zip,18.16962,skipped
transicao,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/taxa_transicao/tx_transicao_brasil_regioes_ufs_2012_2013.zip,tx_transicao_brasil_regioes_ufs_2012_2013.zip,0.176917,skipped
transicao,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/taxa_transicao/tx_transicao_municipios_2012_2013.zip,tx_transicao_municipios_2012_2013.zip,18.079136,skipped
transicao,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/taxa_transicao/tx_transicao_brasil_regioes_ufs_2013_2014.zip,tx_transicao_brasil_regioes_ufs_2013_2014.zip,0.175505,skipped
transicao,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/taxa_transicao/tx_transicao_municipios_2013_2014.zip,tx_transicao_municipios_2013_2014.zip,17.898604,skipped
transicao,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/taxa_transicao/tx_transicao_brasil_regioes_ufs_2014_2015.zip,tx_transicao_brasil_regioes_ufs_2014_2015.zip,0.175431,skipped
transicao,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/taxa_transicao/tx_transicao_municipios_2014_2015.zip,tx_transicao_municipios_2014_2015.zip,18.136275,skipped
transicao,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/taxa_transicao/tx_transicao_brasil_regioes_ufs_2015_2016.zip,tx_transicao_brasil_regioes_ufs_2015_2016.zip,0.174369,skipped
transicao,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/taxa_transicao/tx_transicao_municipios_2015_2016.zip,tx_transicao_municipios_2015_2016.zip,18.06178,skipped
