ano_str,unidade,valor,indicador,etapa,ano_t,ano_t1
2007/2008,Paraíba,70.9,promocao,EF_3,2007,2008
2007/2008,Pernambuco,72.0,promocao,EF_3,2007,2008
2007/2008,Alagoas,71.8,promocao,EF_3,2007,2008
2007/2008,Sergipe,72.1,promocao,EF_3,2007,2008
2007/2008,Bahia,69.2,promocao,EF_3,2007,2008
2007/2008,Minas Gerais,83.5,promocao,EF_3,2007,2008
2007/2008,Espírito Santo,84.1,promocao,EF_3,2007,2008
2007/2008,Rio de Janeiro,81.9,promocao,EF_3,2007,2008
2007/2008,São Paulo,93.6,promocao,EF_3,2007,2008
2007/2008,Paraná,85.4,promocao,EF_3,2007,2008
2007/2008,Santa Catarina,88.0,promocao,EF_3,2007,2008
2007/2008,Rio Grande do Sul,87.9,promocao,EF_3,2007,2008
2007/2008,Mato Grosso do Sul,81.5,promocao,EF_3,2007,2008
2007/2008,Mato Grosso,82.1,promocao,EF_3,2007,2008
2007/2008,Goiás,86.2,promocao,EF_3,2007,2008
2007/2008,Distrito Federal,84.7,promocao,EF_3,2007,2008
2007/2008,Brasil,84.9,promocao,EF_4,2007,2008
2007/2008,Norte,76.8,promocao,EF_4,2007,2008
2007/2008,Nordeste,76.2,promocao,EF_4,2007,2008
2007/2008,Sudeste,92.8,promocao,EF_4,2007,2008
2007/2008,Sul,90.8,promocao,EF_4,2007,2008
2007/2008,Centro-Oeste,87.0,promocao,EF_4,2007,2008
2007/2008,Rondônia,84.9,promocao,EF_4,2007,2008
2007/2008,Acre,80.5,promocao,EF_4,2007,2008
2007/2008,Amazonas,77.3,promocao,EF_4,2007,2008
2007/2008,Roraima,87.4,promocao,EF_4,2007,2008
2007/2008,Pará,72.7,promocao,EF_4,2007,2008
2007/2008,Amapá,79.1,promocao,EF_4,2007,2008
2007/2008,Tocantins,86.3,promocao,EF_4,2007,2008
2007/2008,Maranhão,74.7,promocao,EF_4,2007,2008
2007/2008,Piauí,74.5,promocao,EF_4,2007,2008
2007/2008,Ceará,81.7,promocao,EF_4,2007,2008
2007/2008,Rio Grande do Norte,75.6,promocao,EF_4,2007,2008
2007/2008,Paraíba,76.0,promocao,EF_4,2007,2008
2007/2008,Pernambuco,80.4,promocao,EF_4,2007,2008
2007/2008,Alagoas,75.5,promocao,EF_4,2007,2008
2007/2008,Sergipe,74.8,promocao,EF_4,2007,2008
2007/2008,Bahia,72.5,promocao,EF_4,2007,2008
2007/2008,Minas Gerais,90.5,promocao,EF_4,2007,2008
2007/2008,Espírito Santo,86.6,promocao,EF_4,2007,2008
2007/2008,Rio de Janeiro,88.5,promocao,EF_4,2007,2008
2007/2008,São Paulo,96.3,promocao,EF_4,2007,2008
2007/2008,Paraná,92.2,promocao,EF_4,2007,2008
2007/2008,Santa Catarina,91.5,promocao,EF_4,2007,2008
2007/2008,Rio Grande do Sul,89.0,promocao,EF_4,2007,2008
2007/2008,Mato Grosso do Sul,82.9,promocao,EF_4,2007,2008
2007/2008,Mato Grosso,88.5,promocao,EF_4,2007,2008
2007/2008,Goiás,88.0,promocao,EF_4,2007,2008
2007/2008,Distrito Federal,87.7,promocao,EF_4,2007,2008
2007/2008,Brasil,83.6,promocao,EF_5,2007,2008
2007/2008,Norte,75.0,promocao,EF_5,2007,2008
2007/2008,Nordeste,75.8,promocao,EF_5,2007,2008
2007/2008,Sudeste,89.1,promocao,EF_5,2007,2008
2007/2008,Sul,90.8,promocao,EF_5,2007,2008
2007/2008,Centro-Oeste,88.0,promocao,EF_5,2007,2008
2007/2008,Rondônia,85.7,promocao,EF_5,2007,2008
2007/2008,Acre,78.2,promocao,EF_5,2007,2008
2007/2008,Amazonas,73.5,promocao,EF_5,2007,2008
2007/2008,Roraima,87.0,promocao,EF_5,2007,2008
2007/2008,Pará,70.5,promocao,EF_5,2007,2008
2007/2008,Amapá,80.6,promocao,EF_5,2007,2008
2007/2008,Tocantins,87.2,promocao,EF_5,2007,2008
2007/2008,Maranhão,73.1,promocao,EF_5,2007,2008
2007/2008,Piauí,72.8,promocao,EF_5,2007,2008
2007/2008,Ceará,81.5,promocao,EF_5,2007,2008
2007/2008,Rio Grande do Norte,70.3,promocao,EF_5,2007,2008
2007/2008,Paraíba,74.9,promocao,EF_5,2007,2008
2007/2008,Pernambuco,77.9,promocao,EF_5,2007,2008
2007/2008,Alagoas,77.2,promocao,EF_5,2007,2008
2007/2008,Sergipe,75.3,promocao,EF_5,2007,2008
2007/2008,Bahia,74.4,promocao,EF_5,2007,2008
2007/2008,Minas Gerais,87.0,promocao,EF_5,2007,2008
2007/2008,Espírito Santo,88.8,promocao,EF_5,2007,2008
2007/2008,Rio de Janeiro,86.7,promocao,EF_5,2007,2008
2007/2008,São Paulo,91.1,promocao,EF_5,2007,2008
2007/2008,Paraná,93.0,promocao,EF_5,2007,2008
2007/2008,Santa Catarina,91.8,promocao,EF_5,2007,2008
2007/2008,Rio Grande do Sul,87.9,promocao,EF_5,2007,2008
2007/2008,Mato Grosso do Sul,85.3,promocao,EF_5,2007,2008
2007/2008,Mato Grosso,88.7,promocao,EF_5,2007,2008
2007/2008,Goiás,87.8,promocao,EF_5,2007,2008
2007/2008,Distrito Federal,90.4,promocao,EF_5,2007,2008
2007/2008,Brasil,73.8,promocao,EF_6,2007,2008
2007/2008,Norte,69.7,promocao,EF_6,2007,2008
2007/2008,Nordeste,62.8,promocao,EF_6,2007,2008
2007/2008,Sudeste,83.2,promocao,EF_6,2007,2008
2007/2008,Sul,77.3,promocao,EF_6,2007,2008
2007/2008,Centro-Oeste,75.3,promocao,EF_6,2007,2008
2007/2008,Rondônia,69.2,promocao,EF_6,2007,2008
2007/2008,Acre,78.6,promocao,EF_6,2007,2008
2007/2008,Amazonas,66.5,promocao,EF_6,2007,2008
2007/2008,Roraima,74.7,promocao,EF_6,2007,2008
2007/2008,Pará,68.0,promocao,EF_6,2007,2008
2007/2008,Amapá,76.9,promocao,EF_6,2007,2008
2007/2008,Tocantins,79.4,promocao,EF_6,2007,2008
2007/2008,Maranhão,70.0,promocao,EF_6,2007,2008
2007/2008,Piauí,65.3,promocao,EF_6,2007,2008
2007/2008,Ceará,73.1,promocao,EF_6,2007,2008
2007/2008,Rio Grande do Norte,55.4,promocao,EF_6,2007,2008
2007/2008,Paraíba,58.1,promocao,EF_6,2007,2008
2007/2008,Pernambuco,60.7,promocao,EF_6,2007,2008
2007/2008,Alagoas,59.5,promocao,EF_6,2007,2008
2007/2008,Sergipe,57.0,promocao,EF_6,2007,2008
2007/2008,Bahia,59.2,promocao,EF_6,2007,2008
2007/2008,Minas Gerais,75.3,promocao,EF_6,2007,2008
2007/2008,Espírito Santo,76.5,promocao,EF_6,2007,2008
2007/2008,Rio de Janeiro,75.7,promocao,EF_6,2007,2008
2007/2008,São Paulo,91.6,promocao,EF_6,2007,2008
2007/2008,Paraná,80.2,promocao,EF_6,2007,2008
2007/2008,Santa Catarina,80.2,promocao,EF_6,2007,2008
2007/2008,Rio Grande do Sul,72.8,promocao,EF_6,2007,2008
2007/2008,Mato Grosso do Sul,69.7,promocao,EF_6,2007,2008
2007/2008,Mato Grosso,77.1,promocao,EF_6,2007,2008
2007/2008,Goiás,78.8,promocao,EF_6,2007,2008
2007/2008,Distrito Federal,71.3,promocao,EF_6,2007,2008
2007/2008,Brasil,76.6,promocao,EF_7,2007,2008
2007/2008,Norte,72.0,promocao,EF_7,2007,2008
2007/2008,Nordeste,67.5,promocao,EF_7,2007,2008
2007/2008,Sudeste,84.2,promocao,EF_7,2007,2008
2007/2008,Sul,78.0,promocao,EF_7,2007,2008
2007/2008,Centro-Oeste,76.9,promocao,EF_7,2007,2008
2007/2008,Rondônia,70.9,promocao,EF_7,2007,2008
2007/2008,Acre,80.1,promocao,EF_7,2007,2008
2007/2008,Amazonas,73.4,promocao,EF_7,2007,2008
2007/2008,Roraima,75.0,promocao,EF_7,2007,2008
2007/2008,Pará,68.7,promocao,EF_7,2007,2008
2007/2008,Amapá,76.7,promocao,EF_7,2007,2008
2007/2008,Tocantins,78.8,promocao,EF_7,2007,2008
2007/2008,Maranhão,71.3,promocao,EF_7,2007,2008
2007/2008,Piauí,69.0,promocao,EF_7,2007,2008
2007/2008,Ceará,76.6,promocao,EF_7,2007,2008
2007/2008,Rio Grande do Norte,64.1,promocao,EF_7,2007,2008
2007/2008,Paraíba,65.7,promocao,EF_7,2007,2008
2007/2008,Pernambuco,63.3,promocao,EF_7,2007,2008
2007/2008,Alagoas,63.5,promocao,EF_7,2007,2008
2007/2008,Sergipe,65.8,promocao,EF_7,2007,2008
2007/2008,Bahia,64.8,promocao,EF_7,2007,2008
2007/2008,Minas Gerais,78.5,promocao,EF_7,2007,2008
2007/2008,Espírito Santo,77.0,promocao,EF_7,2007,2008
2007/2008,Rio de Janeiro,77.0,promocao,EF_7,2007,2008
2007/2008,São Paulo,90.7,promocao,EF_7,2007,2008
2007/2008,Paraná,80.2,promocao,EF_7,2007,2008
2007/2008,Santa Catarina,81.9,promocao,EF_7,2007,2008
2007/2008,Rio Grande do Sul,73.3,promocao,EF_7,2007,2008
2007/2008,Mato Grosso do Sul,70.4,promocao,EF_7,2007,2008
2007/2008,Mato Grosso,80.4,promocao,EF_7,2007,2008
2007/2008,Goiás,78.4,promocao,EF_7,2007,2008
2007/2008,Distrito Federal,75.7,promocao,EF_7,2007,2008
2007/2008,Brasil,79.1,promocao,EF_8,2007,2008
2007/2008,Norte,76.7,promocao,EF_8,2007,2008
2007/2008,Nordeste,72.4,promocao,EF_8,2007,2008
2007/2008,Sudeste,84.4,promocao,EF_8,2007,2008
2007/2008,Sul,80.0,promocao,EF_8,2007,2008
2007/2008,Centro-Oeste,77.4,promocao,EF_8,2007,2008
2007/2008,Rondônia,74.9,promocao,EF_8,2007,2008
2007/2008,Acre,84.1,promocao,EF_8,2007,2008
2007/2008,Amazonas,76.3,promocao,EF_8,2007,2008
2007/2008,Roraima,80.1,promocao,EF_8,2007,2008
2007/2008,Pará,75.2,promocao,EF_8,2007,2008
2007/2008,Amapá,80.8,promocao,EF_8,2007,2008
2007/2008,Tocantins,80.6,promocao,EF_8,2007,2008
2007/2008,Maranhão,74.6,promocao,EF_8,2007,2008
2007/2008,Piauí,75.5,promocao,EF_8,2007,2008
2007/2008,Ceará,78.5,promocao,EF_8,2007,2008
2007/2008,Rio Grande do Norte,77.0,promocao,EF_8,2007,2008
2007/2008,Paraíba,69.8,promocao,EF_8,2007,2008
2007/2008,Pernambuco,71.1,promocao,EF_8,2007,2008
2007/2008,Alagoas,67.4,promocao,EF_8,2007,2008
2007/2008,Sergipe,73.5,promocao,EF_8,2007,2008
2007/2008,Bahia,68.4,promocao,EF_8,2007,2008
2007/2008,Minas Gerais,78.5,promocao,EF_8,2007,2008
2007/2008,Espírito Santo,78.5,promocao,EF_8,2007,2008
2007/2008,Rio de Janeiro,79.2,promocao,EF_8,2007,2008
2007/2008,São Paulo,89.7,promocao,EF_8,2007,2008
2007/2008,Paraná,81.1,promocao,EF_8,2007,2008
2007/2008,Santa Catarina,84.1,promocao,EF_8,2007,2008
2007/2008,Rio Grande do Sul,76.2,promocao,EF_8,2007,2008
2007/2008,Mato Grosso do Sul,73.9,promocao,EF_8,2007,2008
2007/2008,Mato Grosso,79.3,promocao,EF_8,2007,2008
2007/2008,Goiás,77.9,promocao,EF_8,2007,2008
2007/2008,Distrito Federal,77.1,promocao,EF_8,2007,2008
2007/2008,Brasil,75.1,promocao,EF_9,2007,2008
2007/2008,Norte,72.6,promocao,EF_9,2007,2008
2007/2008,Nordeste,69.8,promocao,EF_9,2007,2008
2007/2008,Sudeste,77.6,promocao,EF_9,2007,2008
2007/2008,Sul,80.3,promocao,EF_9,2007,2008
2007/2008,Centro-Oeste,74.1,promocao,EF_9,2007,2008
2007/2008,Rondônia,73.2,promocao,EF_9,2007,2008
2007/2008,Acre,78.8,promocao,EF_9,2007,2008
2007/2008,Amazonas,70.0,promocao,EF_9,2007,2008
2007/2008,Roraima,79.2,promocao,EF_9,2007,2008
2007/2008,Pará,70.3,promocao,EF_9,2007,2008
2007/2008,Amapá,81.2,promocao,EF_9,2007,2008
2007/2008,Tocantins,79.4,promocao,EF_9,2007,2008
2007/2008,Maranhão,71.8,promocao,EF_9,2007,2008
2007/2008,Piauí,75.5,promocao,EF_9,2007,2008
2007/2008,Ceará,77.1,promocao,EF_9,2007,2008
2007/2008,Rio Grande do Norte,74.2,promocao,EF_9,2007,2008
2007/2008,Paraíba,67.6,promocao,EF_9,2007,2008
2007/2008,Pernambuco,63.7,promocao,EF_9,2007,2008
2007/2008,Alagoas,65.1,promocao,EF_9,2007,2008
2007/2008,Sergipe,72.5,promocao,EF_9,2007,2008
2007/2008,Bahia,67.2,promocao,EF_9,2007,2008
2007/2008,Minas Gerais,72.1,promocao,EF_9,2007,2008
2007/2008,Espírito Santo,76.1,promocao,EF_9,2007,2008
2007/2008,Rio de Janeiro,76.7,promocao,EF_9,2007,2008
2007/2008,São Paulo,80.6,promocao,EF_9,2007,2008
2007/2008,Paraná,81.2,promocao,EF_9,2007,2008
2007/2008,Santa Catarina,83.7,promocao,EF_9,2007,2008
2007/2008,Rio Grande do Sul,77.3,promocao,EF_9,2007,2008
2007/2008,Mato Grosso do Sul,76.4,promocao,EF_9,2007,2008
2007/2008,Mato Grosso,74.4,promocao,EF_9,2007,2008
2007/2008,Goiás,73.5,promocao,EF_9,2007,2008
2007/2008,Distrito Federal,72.7,promocao,EF_9,2007,2008
2007/2008,Brasil,70.1,promocao,Total_EM,2007,2008
2007/2008,Norte,66.5,promocao,Total_EM,2007,2008
2007/2008,Nordeste,66.5,promocao,Total_EM,2007,2008
2007/2008,Sudeste,73.2,promocao,Total_EM,2007,2008
2007/2008,Sul,71.9,promocao,Total_EM,2007,2008
2007/2008,Centro-Oeste,68.7,promocao,Total_EM,2007,2008
2007/2008,Rondônia,68.9,promocao,Total_EM,2007,2008
2007/2008,Acre,73.2,promocao,Total_EM,2007,2008
2007/2008,Amazonas,75.5,promocao,Total_EM,2007,2008
2007/2008,Roraima,73.4,promocao,Total_EM,2007,2008
2007/2008,Pará,60.2,promocao,Total_EM,2007,2008
2007/2008,Amapá,64.4,promocao,Total_EM,2007,2008
2007/2008,Tocantins,73.5,promocao,Total_EM,2007,2008
2007/2008,Maranhão,68.4,promocao,Total_EM,2007,2008
2007/2008,Piauí,64.9,promocao,Total_EM,2007,2008
2007/2008,Ceará,72.6,promocao,Total_EM,2007,2008
2007/2008,Rio Grande do Norte,64.2,promocao,Total_EM,2007,2008
2007/2008,Paraíba,67.0,promocao,Total_EM,2007,2008
2007/2008,Pernambuco,63.0,promocao,Total_EM,2007,2008
2007/2008,Alagoas,66.6,promocao,Total_EM,2007,2008
