idade,pop,ano,share
22,3351392.0165372,2018,0.05088268895353255
23,3415022.36156422,2018,0.05184876007802043
24,3289452.63588469,2018,0.0499422909863104
4,3094041.71045189,2019,0.04734686489947015
5,2812807.02548078,2019,0.04304324462525366
6,2850444.53242074,2019,0.04361919612268157
7,2832151.95994682,2019,0.0433392723082544
8,3006546.34809269,2019,0.04600795887019552
9,2942272.13408478,2019,0.04502439665224866
10,2963633.12725209,2019,0.04535127526354683
11,2925841.80368836,2019,0.04477296997273588
12,2936304.81285893,2019,0.04493308115674721
13,3089439.25621933,2019,0.04727643540977746
14,3062949.8654642,2019,0.04687107901102056
15,3144477.64939739,2019,0.04811866560896406
16,3117826.77069627,2019,0.04771083802569279
17,3182361.63906864,2019,0.048698388931619464
18,3345676.75040427,2019,0.051197533815907616
19,3362191.32500155,2019,0.05145024965024439
20,3337885.79857473,2019,0.05107831204120903
21,3212337.8867511,2019,0.04915710328715645
22,3357188.21675594,2019,0.05137368911475384
23,3439440.38945381,2019,0.052632360740045264
24,3332577.70849624,2019,0.05099708449247512
4,3038418.5633827,2020,0.046879785973798764
5,2904290.95892769,2020,0.04481033001871505
6,2798455.90993637,2020,0.04317740014360401
7,2952009.88607662,2020,0.04554658575339257
8,2866354.24310833,2020,0.044225004106217845
9,3000964.00198431,2020,0.04630189922598209
10,2883588.53646907,2020,0.04449091216572551
11,2934173.03640345,2020,0.045271380847392365
12,2986545.1831252,2020,0.046079431146614676
13,2920596.24402399,2020,0.045061904401773496
14,3075104.8553825,2020,0.047445819086500716
15,3009231.20968084,2020,0.04642945404416447
16,3224573.94648775,2020,0.049751978970184185
17,3174724.08459295,2020,0.04898284502510655
18,3212063.13083645,2020,0.049558949488611496
19,3208570.77305339,2020,0.049505065870538975
20,3361067.59632861,2020,0.05185794065974098
21,3134888.15708365,2020,0.048368216159218956
22,3292105.95674764,2020,0.05079393093345794
23,3375564.09201003,2020,0.05208160721546346
24,3459688.1978886,2020,0.05337955876379589
4,2989201.83503178,2021,0.04647675116687586
5,2896822.30037721,2021,0.045040414351230025
6,2919587.64749516,2021,0.04539437485025978
7,2943346.18559829,2021,0.04576377769571741
8,2933739.63085793,2021,0.045614412922483916
9,2874013.23974586,2021,0.04468577418511954
10,2926596.02500492,2021,0.045503342606731535
11,2910680.25074588,2021,0.045255880735406366
12,2849370.50317677,2021,0.04430262363229637
13,2938857.22287145,2021,0.04569398234058024
14,3079956.5404685,2021,0.04788782478939714
15,3068509.14069345,2021,0.04770983816279416
16,3051719.54855595,2021,0.04744878998370403
17,3129761.80492445,2021,0.048662207721921674
18,3191211.94938028,2021,0.049617647745934586
