serie_cohort,cohort_year,tempo_rel,total_matr,n_obs,baseline,indice,base_serie,indice_serie,serie_lbl
8,2020,0,2872370.033770561,7160,2872370.033770561,100,2872370.033770561,100,8o EF
8,2020,1,2860965.64039135,5199,2872370.033770561,99.60296224911382,2872370.033770561,99.60296224911382,8o EF
8,2020,2,2892700.575186729,5199,2872370.033770561,100.7077967384822,2872370.033770561,100.7077967384822,8o EF
8,2020,3,2835456.698682785,4665,2872370.033770561,98.71488232178359,2872370.033770561,98.71488232178359,8o EF
10,2020,4,3165096.563649654,4826,2872370.033770561,110.191114878567,3165096.563649654,100,1o EM
10,2020,5,3058967.557929993,5405,2872370.033770561,106.4962912843957,3165096.563649654,96.64689517095539,1o EM
10,2020,6,2989897.931145191,6419,2872370.033770561,104.0916698055212,3165096.563649654,94.4646670652461,1o EM
10,2020,7,2917847.377803802,6651,2872370.033770561,101.5832689903655,3165096.563649654,92.18825773957587,1o EM
11,2020,8,2703795.154488564,6334,2872370.033770561,94.13115729171184,2703795.154488564,100,2o EM
11,2020,9,2688396.599498749,6246,2872370.033770561,93.59506497739393,2703795.154488564,99.43048366795644,2o EM
11,2020,10,2602736.595711708,6060,2872370.033770561,90.61285854925505,2703795.154488564,96.26234411253056,2o EM
11,2020,11,2613692.949020386,5932,2872370.033770561,90.9942980288438,2703795.154488564,96.66756539160892,2o EM
12,2020,12,2614505.93998909,5864,2872370.033770561,91.02260186710788,2614505.93998909,100,3o EM
12,2020,13,2490585.088814735,5566,2872370.033770561,86.70836485316426,2614505.93998909,95.26025742458739,3o EM
12,2020,14,2511424.478783607,5660,2872370.033770561,87.43387687716752,2614505.93998909,96.05732541552716,3o EM
12,2020,15,2442793.050384521,5386,2872370.033770561,85.04451103668792,2614505.93998909,93.43230065083405,3o EM
