ano_t,macroetapa_lbl,flag_promocao_A,flag_repetencia_A,flag_evasao_A,flag_naoprog_A,n_pessoa_A,flag_promocao_B,flag_repetencia_B,flag_evasao_B,flag_naoprog_B,n_pessoa_B,flag_promocao_C,flag_repetencia_C,flag_evasao_C,flag_naoprog_C,n_pessoa_C
2013,EF iniciais,0.595117620560587,0.2102071023572375,0.012025948763043966,0.22223305112028147,28844,0.5828254089091123,0.17419469793470008,0.01566327549264043,0.1898579734273405,1091,0.5828254089091123,0.17419469793470008,0.01566327549264043,0.1898579734273405,1091
2014,EF iniciais,0.6511134805031202,0.18573265313361326,0.01218538272018884,0.1979180358538021,28359,0.6093272139233177,0.1886928182268957,0.013591229147808487,0.2022840473747042,1004,0.6093272139233177,0.1886928182268957,0.013591229147808487,0.2022840473747042,1004
2015,EF iniciais,0.6757766835348027,0.18045414626173584,0.005336285325114513,0.18579043158685035,20668,0.6361170178831579,0.15638941914584542,0.0055823982943673765,0.1619718174402128,429,0.6361170178831579,0.15638941914584542,0.0055823982943673765,0.1619718174402128,429
2016,EF iniciais,0.6869848556998833,0.18449383127419763,0.004558938271341533,0.18905276954553915,30230,0.6725215362362138,0.16380687666210783,0.0011500847694355509,0.16495696143154337,610,0.6725215362362138,0.16380687666210783,0.0011500847694355509,0.16495696143154337,610
2017,EF iniciais,0.6995371316381441,0.18839752516260816,0.004109000249908283,0.19250652541251645,28904,0.5974717185610627,0.21571777390400904,0.0044561051551986605,0.2201738790592077,613,0.5974717185610627,0.21571777390400904,0.0044561051551986605,0.2201738790592077,613
2018,EF iniciais,0.7126148541316767,0.17661653627599455,0.004469734793453051,0.18108627106944758,28131,0.6440559293155622,0.17107219735464319,0.013142854532967863,0.18421505188761106,604,0.6440559293155622,0.17107219735464319,0.013142854532967863,0.18421505188761106,604
2019,EF iniciais,0.728104723776279,0.1763780697875802,0.003378808096003135,0.17975687788358333,26102,0.6148160035464859,0.24510298674400494,0.0055162079283219805,0.2506191946723269,1176,0.6148160035464859,0.24510298674400494,0.0055162079283219805,0.2506191946723269,1176
2020,EF iniciais,0.540145952953568,0.39433619837382605,0.00780166258918243,0.40213786096300846,15736,0.6550166395884961,0.22138878786883998,0.004420164379676057,0.22580895224851602,779,0.6550166395884961,0.22138878786883998,0.004420164379676057,0.22580895224851602,779
2021,EF iniciais,0.611756775333698,0.30389363521964124,0.0030907253549894314,0.3069843605746307,21463,0.5720383861312681,0.3269360655151283,0.005013522084227825,0.33194958759935617,737,0.5720383861312681,0.3269360655151283,0.005013522084227825,0.33194958759935617,737
2022,EF iniciais,0.53155031475312,0.39550040382634943,0.0015476336219123112,0.3970480374482617,22008,0.5713334326053262,0.3208129390849813,0.0037120954254315345,0.32452503451041287,602,0.5713334326053262,0.3208129390849813,0.0037120954254315345,0.32452503451041287,602
