ano,serie,idade_media,n
2013,8o EF,13.815034870686056,7248
2014,8o EF,13.77710526356819,6936
2015,8o EF,13.688243661574306,6794
2016,8o EF,13.61524308218395,7039
2017,8o EF,13.634966783241582,7241
2018,8o EF,13.56467977100349,6765
2019,8o EF,13.54933669070825,6776
2020,8o EF,13.592558862294814,4598
2021,8o EF,13.61287501772567,4636
2022,8o EF,13.44219609285142,6096
2023,8o EF,13.436951450542708,5800
2024,8o EF,13.40284312225417,5939
2012,9o EF,14.452078412228591,5183
2013,9o EF,14.423652485970532,5347
2014,9o EF,14.433014023581316,5471
2015,9o EF,14.423009102280966,6323
2016,9o EF,14.430159926895342,6790
2017,9o EF,14.424477546455863,6921
2018,9o EF,14.442022961430263,6807
2019,9o EF,14.422615593401915,6692
2020,9o EF,14.455075511380334,4647
2021,9o EF,14.566068159107317,4601
2022,9o EF,14.444740234072885,6275
2023,9o EF,14.435566243856906,6007
2024,9o EF,14.403488666830086,5999
