term,estimate,std.error,statistic,p.value,conf.low,conf.high,grupo,yr_q,ano,trim,x
NA,0,NA,NA,NA,0,0,Renda < 1/4 SM,2023Q3,2023,3,2023.625
yr_q::2023Q4:treat_extreme,0.610323795710153,0.5554710178789722,1.0987500266721968,0.2718787998229497,-0.4783877857406198,1.699035377160926,Renda < 1/4 SM,2023Q4,2023,4,2023.875
yr_q::2024Q1:treat_extreme,1.1637413498708806,0.6168041287780238,1.8867275615946617,0.05919882180967459,-0.045181846610995446,2.3726645463527567,Renda < 1/4 SM,2024Q1,2024,1,2024.125
yr_q::2024Q2:treat_extreme,1.0863434147695474,0.6767537120299817,1.6052271239280915,0.10844584129486091,-0.24007971148143614,2.412766541020531,Renda < 1/4 SM,2024Q2,2024,2,2024.375
yr_q::2024Q3:treat_extreme,1.1863386064401094,0.7080245035324664,1.6755615102602306,0.09382610429375447,-0.20137461735707096,2.5740518302372895,Renda < 1/4 SM,2024Q3,2024,3,2024.625
yr_q::2024Q4:treat_extreme,0.7704150812300257,0.749510986428272,1.0278903113900575,0.3040030108633215,-0.6986107816581901,2.2394409441182415,Renda < 1/4 SM,2024Q4,2024,4,2024.875
yr_q::2025Q1:treat_extreme,1.54737494106619,0.7175654302573331,2.1564234783596956,0.03105212636566313,0.1409617003665995,2.9537881817657805,Renda < 1/4 SM,2025Q1,2025,1,2025.125
yr_q::2025Q2:treat_extreme,1.8153368645988355,0.7293972519171041,2.4888178010371065,0.012817890669580605,0.3857335008216456,3.2449402283760254,Renda < 1/4 SM,2025Q2,2025,2,2025.375
yr_q::2025Q3:treat_extreme,1.2898123745357335,0.7258340273469434,1.777007312884234,0.07556897201449359,-0.13280714358258305,2.71243189265405,Renda < 1/4 SM,2025Q3,2025,3,2025.625
yr_q::2025Q4:treat_extreme,1.596680633082884,0.9163851890653265,1.742368440842469,0.08144595228382775,-0.19941517802702102,3.392776444192789,Renda < 1/4 SM,2025Q4,2025,4,2025.875
