ano,macroetapa,raca,quintil,prom,evas,n
2021,EF iniciais,Parda,Q2-Q4,0.8326461390228951,0.00276620615877377,2860
2021,EF iniciais,Parda,Q5 (rico),0.8599346724191667,0.0,539
2021,EF iniciais,Preta,Q1 (pobre),0.675066226467323,0.010438330361547406,122
2021,EF iniciais,Preta,Q2-Q4,0.7956027320939275,0.0,326
2021,EF iniciais,Preta,Q5 (rico),0.7988855021153689,0.0,57
2021,EM,Branca,Q1 (pobre),0.6963739034198927,0.09130411712475932,229
2021,EM,Branca,Q2-Q4,0.7593789614908258,0.06035966864011799,840
2021,EM,Branca,Q5 (rico),0.7715885560095948,0.04558685707824637,573
2021,EM,Parda,Q1 (pobre),0.7382855265709217,0.06821409803887617,548
2021,EM,Parda,Q2-Q4,0.7255070892448429,0.07541019275248319,1695
2021,EM,Parda,Q5 (rico),0.7085405867739418,0.045500605782291315,383
2021,EM,Preta,Q1 (pobre),0.6579281153011675,0.14039624928997202,80
2021,EM,Preta,Q2-Q4,0.6893049303704357,0.09782833041647457,246
2021,EM,Preta,Q5 (rico),0.745408390153751,0.038609028891328355,51
2022,EF finais,Branca,Q1 (pobre),0.7030283710784807,0.02946754115832044,404
2022,EF finais,Branca,Q2-Q4,0.7228410974336179,0.010591028708000685,1594
2022,EF finais,Branca,Q5 (rico),0.7311011893490396,0.007230303639108224,951
2022,EF finais,Parda,Q1 (pobre),0.6925729709449441,0.01121216325047323,1113
2022,EF finais,Parda,Q2-Q4,0.694623674432466,0.014487505951047853,2893
2022,EF finais,Parda,Q5 (rico),0.7532433740393083,0.0065470069506885645,522
2022,EF finais,Preta,Q1 (pobre),0.6809035904549512,0.03233906795213405,147
2022,EF finais,Preta,Q2-Q4,0.7360595064637603,0.03215445467128051,395
2022,EF finais,Preta,Q5 (rico),0.7343362204934355,0.0,71
2022,EF iniciais,Branca,Q1 (pobre),0.6603462814461509,0.0027476778899145687,438
2022,EF iniciais,Branca,Q2-Q4,0.747734534775814,0.0006153519190070043,1981
2022,EF iniciais,Branca,Q5 (rico),0.7745912414355767,0.0026126160300417004,1159
2022,EF iniciais,Parda,Q1 (pobre),0.6948153299366152,0.0025870761043934403,1264
2022,EF iniciais,Parda,Q2-Q4,0.7192215998423481,0.0013410655797290998,3303
2022,EF iniciais,Parda,Q5 (rico),0.7739888254824687,0.0013226509157561708,655
2022,EF iniciais,Preta,Q1 (pobre),0.6901530813298435,0.0,171
2022,EF iniciais,Preta,Q2-Q4,0.7390248884163794,0.0,425
2022,EF iniciais,Preta,Q5 (rico),0.6894766156192176,0.0,85
2022,EM,Branca,Q1 (pobre),0.6305036232915229,0.06503317980381781,264
2022,EM,Branca,Q2-Q4,0.6352546825107681,0.04979976530966058,1003
2022,EM,Branca,Q5 (rico),0.6708931506094489,0.020724784428313922,668
2022,EM,Parda,Q1 (pobre),0.6678983527174599,0.060200583350049734,618
2022,EM,Parda,Q2-Q4,0.6636340158263953,0.057087476833031406,1805
2022,EM,Parda,Q5 (rico),0.7215040838410348,0.033497772200249604,380
2022,EM,Preta,Q1 (pobre),0.5398105533640137,0.1177771600715228,98
2022,EM,Preta,Q2-Q4,0.5882345872828841,0.07784965115309335,318
2022,EM,Preta,Q5 (rico),0.7742197542763735,0.031839724198173804,72
2023,EF finais,Branca,Q1 (pobre),0.7387325555060031,0.005016803882219361,410
2023,EF finais,Branca,Q2-Q4,0.6761454657847902,0.0051668409857139695,1586
2023,EF finais,Branca,Q5 (rico),0.7462196272143342,0.004617627633847643,984
2023,EF finais,Parda,Q1 (pobre),0.6834175414866908,0.02396073491534645,1173
2023,EF finais,Parda,Q2-Q4,0.6945196590792269,0.008359464940838673,3036
2023,EF finais,Parda,Q5 (rico),0.7663581173881249,0.0014885756104355214,637
2023,EF finais,Preta,Q1 (pobre),0.6462743728974528,0.03230265523463213,139
2023,EF finais,Preta,Q2-Q4,0.672192286670362,0.008467543958696097,477
2023,EF finais,Preta,Q5 (rico),0.7192101154249901,0.037696275438407166,78
2023,EF iniciais,Branca,Q1 (pobre),0.6895646110298452,0.002753988907925884,506
2023,EF iniciais,Branca,Q2-Q4,0.7439876569012769,0.0018264991625173534,1939
2023,EF iniciais,Branca,Q5 (rico),0.7606053911336317,0.0,1197
2023,EF iniciais,Parda,Q1 (pobre),0.7193508154707959,0.003173449265261729,1322
2023,EF iniciais,Parda,Q2-Q4,0.7023244458081404,0.005720229841318993,3520
2023,EF iniciais,Parda,Q5 (rico),0.7515991117278713,0.0004307801383091107,733
2023,EF iniciais,Preta,Q1 (pobre),0.791684048186735,0.0,159
2023,EF iniciais,Preta,Q2-Q4,0.6988152472678691,0.0007400355803678665,529
2023,EF iniciais,Preta,Q5 (rico),0.831823898396666,0.0,92
2023,EM,Branca,Q1 (pobre),0.7074333319892168,0.02787598009653249,264
2023,EM,Branca,Q2-Q4,0.6658112536804499,0.054547741521560916,932
2023,EM,Branca,Q5 (rico),0.6562619650024922,0.03648221422824515,664
2023,EM,Parda,Q1 (pobre),0.5999368366314488,0.065664256976044,643
2023,EM,Parda,Q2-Q4,0.6511383644198878,0.06034773462467231,1857
2023,EM,Parda,Q5 (rico),0.621067384793318,0.035649032703910476,457
2023,EM,Preta,Q1 (pobre),0.6787585948450937,0.006888360303614922,77
2023,EM,Preta,Q2-Q4,0.6026267762159297,0.08180754979517887,311
2023,EM,Preta,Q5 (rico),0.6681122502941693,0.0063836999440622195,63
