ano,trim,macroetapa,categoria,valor,freq,n
2021,1,EF iniciais,sexo,Homem,1.0,9935
2021,1,EF iniciais,sexo,Mulher,1.0,9067
2021,1,EM,sexo,Homem,1.0,6072
2021,1,EM,sexo,Mulher,1.0,5893
2021,2,EF finais,sexo,Homem,1.0,9859
2021,2,EF finais,sexo,Mulher,1.0,8957
2021,2,EF iniciais,sexo,Homem,1.0,10795
2021,2,EF iniciais,sexo,Mulher,1.0,9902
2021,2,EM,sexo,Homem,1.0,6520
2021,2,EM,sexo,Mulher,1.0,6425
2021,3,EF finais,sexo,Homem,1.0,11680
2021,3,EF finais,sexo,Mulher,1.0,10761
2021,3,EF iniciais,sexo,Homem,1.0,12951
2021,3,EF iniciais,sexo,Mulher,1.0,11921
2021,3,EM,sexo,Homem,1.0,7604
2021,3,EM,sexo,Mulher,1.0,7436
2021,4,EF finais,sexo,Homem,1.0,12481
2021,4,EF finais,sexo,Mulher,1.0,11369
2021,4,EF iniciais,sexo,Homem,1.0,14127
2021,4,EF iniciais,sexo,Mulher,1.0,12848
2021,4,EM,sexo,Homem,1.0,7802
2021,4,EM,sexo,Mulher,1.0,7660
2022,1,EF finais,sexo,Homem,1.0,12915
2022,1,EF finais,sexo,Mulher,1.0,11666
2022,1,EF iniciais,sexo,Homem,1.0,14148
2022,1,EF iniciais,sexo,Mulher,1.0,12850
2022,1,EM,sexo,Homem,1.0,8607
2022,1,EM,sexo,Mulher,1.0,8241
2022,2,EF finais,sexo,Homem,1.0,13043
2022,2,EF finais,sexo,Mulher,1.0,11832
2022,2,EF iniciais,sexo,Homem,1.0,14605
2022,2,EF iniciais,sexo,Mulher,1.0,13227
2022,2,EM,sexo,Homem,1.0,8524
2022,2,EM,sexo,Mulher,1.0,8284
2022,3,EF finais,sexo,Homem,1.0,13199
2022,3,EF finais,sexo,Mulher,1.0,11856
2022,3,EF iniciais,sexo,Homem,1.0,15060
2022,3,EF iniciais,sexo,Mulher,1.0,13759
2022,3,EM,sexo,Homem,1.0,8376
2022,3,EM,sexo,Mulher,1.0,8154
2022,4,EF finais,sexo,Homem,1.0,12853
2022,4,EF finais,sexo,Mulher,1.0,11650
2022,4,EF iniciais,sexo,Homem,1.0,14726
2022,4,EF iniciais,sexo,Mulher,1.0,13549
2022,4,EM,sexo,Homem,1.0,8063
2022,4,EM,sexo,Mulher,1.0,7778
2023,1,EF finais,sexo,Homem,1.0,12658
2023,1,EF finais,sexo,Mulher,1.0,11462
2023,1,EF iniciais,sexo,Homem,1.0,14050
2023,1,EF iniciais,sexo,Mulher,1.0,13062
2023,1,EM,sexo,Homem,1.0,8511
2023,1,EM,sexo,Mulher,1.0,8115
2023,2,EF finais,sexo,Homem,1.0,12554
2023,2,EF finais,sexo,Mulher,1.0,11511
2023,2,EF iniciais,sexo,Homem,1.0,14271
2023,2,EF iniciais,sexo,Mulher,1.0,13256
2023,2,EM,sexo,Homem,1.0,8171
2023,2,EM,sexo,Mulher,1.0,7980
2023,3,EF finais,sexo,Homem,1.0,12601
2023,3,EF finais,sexo,Mulher,1.0,11595
2023,3,EF iniciais,sexo,Homem,1.0,14874
2023,3,EF iniciais,sexo,Mulher,1.0,13650
2023,3,EM,sexo,Homem,1.0,8026
2023,3,EM,sexo,Mulher,1.0,7893
2023,4,EF finais,sexo,Homem,1.0,12489
2023,4,EF finais,sexo,Mulher,1.0,11626
2023,4,EF iniciais,sexo,Homem,1.0,14791
2023,4,EF iniciais,sexo,Mulher,1.0,13680
2023,4,EM,sexo,Homem,1.0,7805
2023,4,EM,sexo,Mulher,1.0,7708
2024,1,EF finais,sexo,Homem,1.0,12626
2024,1,EF finais,sexo,Mulher,1.0,11863
2024,1,EF iniciais,sexo,Homem,1.0,14935
2024,1,EF iniciais,sexo,Mulher,1.0,13606
2024,1,EM,sexo,Homem,1.0,8622
2024,1,EM,sexo,Mulher,1.0,8178
2024,2,EF finais,sexo,Homem,1.0,12712
2024,2,EF finais,sexo,Mulher,1.0,11835
2024,2,EF iniciais,sexo,Homem,1.0,15233
2024,2,EF iniciais,sexo,Mulher,1.0,13876
2024,2,EM,sexo,Homem,1.0,8427
2024,2,EM,sexo,Mulher,1.0,8248
2024,3,EF finais,sexo,Homem,1.0,12586
2024,3,EF finais,sexo,Mulher,1.0,11616
2024,3,EF iniciais,sexo,Homem,1.0,15428
2024,3,EF iniciais,sexo,Mulher,1.0,14043
2024,3,EM,sexo,Homem,1.0,8437
2024,3,EM,sexo,Mulher,1.0,8207
2024,4,EF finais,sexo,Homem,1.0,9431
2024,4,EF finais,sexo,Mulher,1.0,8816
2024,4,EF iniciais,sexo,Homem,1.0,11767
2024,4,EF iniciais,sexo,Mulher,1.0,10786
2024,4,EM,sexo,Homem,1.0,6219
2024,4,EM,sexo,Mulher,1.0,6058
2012,1,EF finais,raca,Branca,1.0,9028
2012,1,EF finais,raca,Parda,1.0,13698
2012,1,EF finais,raca,Preta,1.0,1494
2012,1,EF iniciais,raca,Branca,1.0,11908
