ano,idade,quintil,ef,em,n
2017,17,Q5 (mais rico),0.9402436025026072,0.2606715143944097,6316
2017,18,Q5 (mais rico),0.9575773968207744,0.6695033822198122,6829
2017,19,Q5 (mais rico),0.9569015333213419,0.7804646588012042,7499
2017,20,Q5 (mais rico),0.9646289720574373,0.8354565115637463,8149
2017,21,Q5 (mais rico),0.960599515146609,0.8353996248304546,8398
2017,22,Q5 (mais rico),0.9647269106340401,0.8512841083493011,9087
2017,23,Q5 (mais rico),0.9624350847538322,0.8490758276153405,9211
2017,24,Q5 (mais rico),0.9668311533717331,0.8710894946256419,9392
2019,14,Q1 (mais pobre),0.08443671472198401,0.0,8424
2019,15,Q1 (mais pobre),0.42463170507350323,0.0,8487
2019,16,Q1 (mais pobre),0.6148443657593728,0.006984083789314606,8517
2019,17,Q1 (mais pobre),0.7090144544780148,0.08372429400520776,8030
2019,18,Q1 (mais pobre),0.7786439922378275,0.3262404888204139,7656
2019,19,Q1 (mais pobre),0.7783865523056851,0.43535200322655115,6980
2019,20,Q1 (mais pobre),0.7774831988334312,0.48467259897550563,6032
2019,21,Q1 (mais pobre),0.7588212979558803,0.5009952374449523,5445
2019,22,Q1 (mais pobre),0.7251999213401487,0.4847615027491276,5441
2019,23,Q1 (mais pobre),0.7185897800447318,0.4925203657115836,5172
2019,24,Q1 (mais pobre),0.7064320612104682,0.48135370243056097,4860
2019,14,Q2,0.09291651903252791,0.0,7898
2019,15,Q2,0.4204800829865767,0.0,7654
2019,16,Q2,0.6465401429785821,0.009389099443340139,7668
2019,17,Q2,0.7582003403293661,0.10551545770026956,7609
2019,18,Q2,0.7959620099548138,0.31948089769306887,7243
2019,19,Q2,0.8079998893105566,0.460610444037676,6825
2019,20,Q2,0.7960277725532117,0.5086912198868065,6042
2019,21,Q2,0.7695860631015506,0.5058760744819607,5550
2019,22,Q2,0.7843415022395788,0.5039047266356836,5371
2019,23,Q2,0.7382964629667519,0.47292374886458,5228
2019,24,Q2,0.7318596003983132,0.4703301656315111,4889
2019,14,Q3,0.12745207929274208,0.0,7176
2019,15,Q3,0.5528282849573419,0.0,7277
2019,16,Q3,0.7702072681563384,0.005287258959388831,7295
2019,17,Q3,0.8341725429360283,0.13406329249726784,7395
2019,18,Q3,0.8832412137110718,0.43118545614078047,7516
2019,19,Q3,0.8760972143497051,0.5488415363115945,7453
2019,20,Q3,0.8710522661677906,0.6300691897898637,7025
2019,21,Q3,0.8626336202992937,0.6298267693699372,6763
2019,22,Q3,0.8702510031893079,0.6426615366450796,7044
2019,23,Q3,0.8642583745506739,0.6426382446721819,6553
2019,24,Q3,0.8543068504623517,0.6258508401244554,6608
2019,14,Q4,0.15931233990368934,0.0,5756
2019,15,Q4,0.6309583261469172,0.0,5789
2019,16,Q4,0.8386704050995603,0.01643298278299247,5962
2019,17,Q4,0.9151532463910226,0.17988625514544682,6162
2019,18,Q4,0.9296890153851499,0.5243184714732007,6922
2019,19,Q4,0.9427608192880921,0.7027345837412248,7227
2019,20,Q4,0.928413547897941,0.7486875332047556,6981
2019,21,Q4,0.9298960463440613,0.734763188588295,6884
2019,22,Q4,0.9414504753992983,0.7632074693914216,6930
2019,23,Q4,0.9285934736907744,0.7535724520585485,7093
2019,24,Q4,0.9207415386851141,0.747995297062526,6922
2019,14,Q5 (mais rico),0.20210528363112132,0.0,5328
2019,15,Q5 (mais rico),0.73465176084425,0.0,5538
2019,16,Q5 (mais rico),0.9165773834800922,0.012871398034613055,5397
2019,17,Q5 (mais rico),0.9496551815695414,0.22365134722348204,5595
2019,18,Q5 (mais rico),0.9687567065810201,0.670936109699699,6575
2019,19,Q5 (mais rico),0.975232148469867,0.828189186229363,7366
2019,20,Q5 (mais rico),0.9680903394825964,0.853978349235801,7676
2019,21,Q5 (mais rico),0.9757548402005839,0.8814825190581052,7928
2019,22,Q5 (mais rico),0.9720310915841976,0.8752122372329194,8575
2019,23,Q5 (mais rico),0.9707634983061892,0.8693000750093884,9031
2019,24,Q5 (mais rico),0.9676042771227108,0.8753860963118554,8840
2021,14,Q1 (mais pobre),0.06669070362780592,0.0,5886
2021,15,Q1 (mais pobre),0.4051109244817098,0.0,5973
2021,16,Q1 (mais pobre),0.668767382788746,0.00385803672801718,5880
2021,17,Q1 (mais pobre),0.7693112666059089,0.06819993158728181,5327
2021,18,Q1 (mais pobre),0.8186576976526772,0.3168054483555161,5189
2021,19,Q1 (mais pobre),0.8261181099738523,0.47854969466811814,4475
2021,20,Q1 (mais pobre),0.7982473982066262,0.5430847289043563,4256
2021,21,Q1 (mais pobre),0.7973753600693264,0.5729070510500941,3965
2021,22,Q1 (mais pobre),0.8105592256261978,0.591864563367985,3618
2021,23,Q1 (mais pobre),0.7996950513727221,0.5949257605821323,3614
2021,24,Q1 (mais pobre),0.7839459217930729,0.5799890631683772,3276
2021,14,Q2,0.07630789900690786,0.0,5481
2021,15,Q2,0.4151717695791635,0.0,5535
2021,16,Q2,0.7045232377472532,0.0032015029475678295,5513
2021,17,Q2,0.801753016735016,0.057119913311949155,5427
2021,18,Q2,0.8240022915886771,0.32988205394134174,5095
2021,19,Q2,0.8355513686529746,0.4893150848643632,4582
2021,20,Q2,0.8300001675376839,0.5515555065157296,4533
2021,21,Q2,0.82919110113803,0.5807607667643112,4168
2021,22,Q2,0.7860567930882968,0.5608327066222489,3863
2021,23,Q2,0.7737622264883683,0.5275524737213528,3678
2021,24,Q2,0.789549943423407,0.5730803086865276,3382
2021,14,Q3,0.09203516420564933,0.0,4821
2021,15,Q3,0.530126033850819,0.0,4756
2021,16,Q3,0.7813807512111693,0.006461065899913752,4806
2021,17,Q3,0.8600263907482488,0.09748474766039492,4907
2021,18,Q3,0.8910847905602012,0.41864404951882483,4881
2021,19,Q3,0.9053145385240678,0.5919148687228166,4703
2021,20,Q3,0.9145940298418924,0.6742813478866019,4804
2021,21,Q3,0.8910498301083265,0.668290539402974,4786
2021,22,Q3,0.8950224281780733,0.6916653295355668,4584
2021,23,Q3,0.8804785545322843,0.6904744953532143,4330
2021,24,Q3,0.8732266750313296,0.6710744205810146,4427
2021,14,Q4,0.10537883240117617,0.0,4056
2021,15,Q4,0.5756506766969586,0.0,4349
2021,16,Q4,0.8282282682392362,0.00706128219091568,4422
2021,17,Q4,0.899048838494216,0.11192023698470807,4403
2021,18,Q4,0.9380207862480254,0.506819596664531,4843
2021,19,Q4,0.9472633185767381,0.6836883031507209,4792
2021,20,Q4,0.9460620894917896,0.7761571490683644,4899
2021,21,Q4,0.9482991326983692,0.7842508542277078,5336
2021,22,Q4,0.9425465447750123,0.781473907272331,4899
2021,23,Q4,0.9320195470128404,0.7799422474612699,4748
2021,24,Q4,0.9311393329529841,0.7879291058755151,4749
2021,14,Q5 (mais rico),0.14443153727551916,0.0,3449
2021,15,Q5 (mais rico),0.6763768280784498,0.0,3605
2021,16,Q5 (mais rico),0.9125970316259527,0.009112034187279783,3801
2021,17,Q5 (mais rico),0.9603960527661508,0.1561032853449827,3889
2021,18,Q5 (mais rico),0.9781518269932921,0.643176034659358,4286
2021,19,Q5 (mais rico),0.9751450446376514,0.8080099204764913,4660
2021,20,Q5 (mais rico),0.9780729460003379,0.8805529367419359,5079
2021,21,Q5 (mais rico),0.9754360231932663,0.9020478730253094,5721
2021,22,Q5 (mais rico),0.9766114087593808,0.8941502563298045,5393
2021,23,Q5 (mais rico),0.9795797619345967,0.9028784876431273,5791
2021,24,Q5 (mais rico),0.9820213987325151,0.8967964279938996,5878
2023,14,Q1 (mais pobre),0.07121823292119998,0.0,6745
2023,15,Q1 (mais pobre),0.4410804158258834,0.0,6798
2023,16,Q1 (mais pobre),0.7179175832342874,0.0031702383134771836,6816
2023,17,Q1 (mais pobre),0.8020707577156884,0.05765379654705066,6485
2023,18,Q1 (mais pobre),0.8357872028417044,0.3320157602182004,5746
2023,19,Q1 (mais pobre),0.8514194130232512,0.5160527966352446,4869
2023,20,Q1 (mais pobre),0.8180560759607387,0.5696001129530843,4551
2023,21,Q1 (mais pobre),0.8193345758454396,0.5789071678887495,4112
2023,22,Q1 (mais pobre),0.7828216299753561,0.5791254882618943,4237
2023,23,Q1 (mais pobre),0.7817117086198845,0.5691221875365193,4153
2023,24,Q1 (mais pobre),0.7604154442237187,0.5595842678267348,3587
2023,14,Q2,0.08838667244740263,0.0,6417
2023,15,Q2,0.47137658658267434,0.0,6498
2023,16,Q2,0.7433651956707127,0.008458813656999123,6366
2023,17,Q2,0.8488598046660187,0.06208242304836974,6386
2023,18,Q2,0.8757943320087004,0.37433984151276545,5725
2023,19,Q2,0.8734585351651508,0.5432053976601192,4934
2023,20,Q2,0.8479368486163902,0.5745920706011312,4726
2023,21,Q2,0.8453648737319458,0.5899646456469491,4395
2023,22,Q2,0.8259767699665419,0.5911432943372346,4526
2023,23,Q2,0.8183985240237819,0.5643807629292122,4524
2023,24,Q2,0.8082447525934466,0.5723428139237782,4024
2023,14,Q3,0.09963929193700338,0.0,5619
2023,15,Q3,0.5357682174824108,0.0,5747
2023,16,Q3,0.8168825991335519,0.004579931135930232,5800
2023,17,Q3,0.8855786163961006,0.08288102850377926,5745
2023,18,Q3,0.9166211122640617,0.450019808978642,5700
2023,19,Q3,0.9099610471438088,0.6228157670472536,5274
2023,20,Q3,0.9106029394705152,0.6903464495440202,5402
2023,21,Q3,0.9133210600398283,0.7008227992796452,5393
2023,22,Q3,0.9116001927782716,0.6997230646713267,5377
2023,23,Q3,0.9065906542208086,0.6837287058336742,5596
2023,24,Q3,0.8908651446233464,0.7063317512788703,5126
2023,14,Q4,0.12087268963588314,0.0,4539
2023,15,Q4,0.5868870647932997,0.0,4871
2023,16,Q4,0.8778476213880165,0.002546489344032235,4931
2023,17,Q4,0.9402464926057069,0.10503653075574937,5156
2023,18,Q4,0.9521386109594715,0.5138908507560074,5699
2023,19,Q4,0.9573119746836349,0.7555281276087631,5452
2023,20,Q4,0.9549735179863934,0.7837964707051358,5681
2023,21,Q4,0.9499169623292123,0.7918394763443458,5722
2023,22,Q4,0.946991694606673,0.79856189429632,5815
2023,23,Q4,0.9434218549673052,0.796206397836649,5912
2023,24,Q4,0.9344683333096193,0.7901472356726393,5662
2023,14,Q5 (mais rico),0.12742528504044912,0.0,3884
2023,15,Q5 (mais rico),0.69882354288993,0.0,3848
2023,16,Q5 (mais rico),0.9226199736342032,0.005818599497486574,4246
2023,17,Q5 (mais rico),0.9644560504766938,0.14281832294681351,4627
2023,18,Q5 (mais rico),0.9729369468717193,0.6177166126426618,5026
2023,19,Q5 (mais rico),0.9839417124558232,0.8600441959946497,5343
2023,20,Q5 (mais rico),0.9738230673482056,0.8716675573511654,5648
2023,21,Q5 (mais rico),0.9842722372412646,0.8879322852136398,5849
2023,22,Q5 (mais rico),0.9780298245886629,0.8987381414758928,6619
2023,23,Q5 (mais rico),0.9801691494344935,0.9011971919221934,7200
2023,24,Q5 (mais rico),0.9780484954801342,0.9044419783035433,6922
2025,14,Q1 (mais pobre),0.09473000856702035,0.0,6605
2025,15,Q1 (mais pobre),0.5336595020934696,0.0,6890
2025,16,Q1 (mais pobre),0.7655910572646852,0.0029062852751295175,6739
2025,17,Q1 (mais pobre),0.8542669660541121,0.06793888698941919,6450
2025,18,Q1 (mais pobre),0.8938872787620809,0.3975883832173267,5820
2025,19,Q1 (mais pobre),0.887890321204986,0.5776970816649362,4682
2025,20,Q1 (mais pobre),0.8668887616793501,0.6280712567249319,4369
2025,21,Q1 (mais pobre),0.8677909322153364,0.6638116711624807,3896
2025,22,Q1 (mais pobre),0.8281424905249432,0.6350522864155383,3689
2025,23,Q1 (mais pobre),0.8448964765552645,0.643700811869123,3770
2025,24,Q1 (mais pobre),0.829202771992242,0.6347358853494491,3725
2025,14,Q2,0.09051099019231618,0.0,6286
2025,15,Q2,0.5644423794703264,0.0,6181
2025,16,Q2,0.8045073293172811,0.0034177805066505076,6263
2025,17,Q2,0.8697268491076693,0.0803434755604571,6168
2025,18,Q2,0.9077742762508719,0.4372699703208879,5803
2025,19,Q2,0.9021426452713609,0.6072707686948945,4927
2025,20,Q2,0.9015168380454784,0.6619797801064297,4705
2025,21,Q2,0.8847675911679227,0.6577888097699147,4257
2025,22,Q2,0.8556283687754266,0.6440069499400406,4284
2025,23,Q2,0.8536113965650355,0.6297503192795957,4226
2025,24,Q2,0.8483801531841615,0.6238361901998593,4391
2025,14,Q3,0.11761161161808904,0.0,5071
2025,15,Q3,0.6069448008455338,0.0,5120
2025,16,Q3,0.8627565070580319,0.0072249196055733204,5078
2025,17,Q3,0.9265109959287424,0.08234594482430502,5099
2025,18,Q3,0.935616490848169,0.4865008912083764,5160
2025,19,Q3,0.932188349497137,0.678442269269668,4809
2025,20,Q3,0.9387698051554075,0.7494737006826965,4671
2025,21,Q3,0.9320762085983317,0.7576565859207366,4371
2025,22,Q3,0.9138272710865639,0.7481491333992852,4470
2025,23,Q3,0.8994397302583007,0.7206516898149177,4270
2025,24,Q3,0.9054119394141047,0.7324055311277178,4365
2025,14,Q4,0.1236873771344185,0.0,5101
2025,15,Q4,0.6906167564349328,0.0,5032
2025,16,Q4,0.8976063854985596,0.006787061084884104,5282
2025,17,Q4,0.9491986225895139,0.09874689015331148,5226
2025,18,Q4,0.9610906889851668,0.5818136756011186,5806
2025,19,Q4,0.9715036362092397,0.7868109452253897,5943
2025,20,Q4,0.9606575870087378,0.8067889749381583,6014
2025,21,Q4,0.9612376461010443,0.8297488576668577,5846
2025,22,Q4,0.9575197010012002,0.8317443553281847,5907
2025,23,Q4,0.94319477511111,0.8089697606905444,5804
2025,24,Q4,0.9474745411022495,0.8314597453083442,6007
2025,14,Q5 (mais rico),0.1531125965350176,0.0,4106
2025,15,Q5 (mais rico),0.729312617561636,0.0,4300
2025,16,Q5 (mais rico),0.9522409542381766,0.005320365498244493,4136
2025,17,Q5 (mais rico),0.9764126678921325,0.14489691116100742,4307
2025,18,Q5 (mais rico),0.9848430601252592,0.689550961492944,4861
2025,19,Q5 (mais rico),0.9840805963796531,0.8681603605720895,5233
2025,20,Q5 (mais rico),0.9800844661267689,0.8911907057596035,5623
2025,21,Q5 (mais rico),0.975832136131228,0.8926475208907554,5642
2025,22,Q5 (mais rico),0.9796648389363076,0.9101521904108826,5959
2025,23,Q5 (mais rico),0.9846242617622898,0.9137372613020037,6184
2025,24,Q5 (mais rico),0.9784737201376491,0.9158239958111579,6823
