ano,macroetapa,quintil,prom,rep,evas,eja,n
2015,EF iniciais,Q2,0.7780248970856805,0.1816875740453284,0.009468715276757368,0.002571335417511819,2935
2016,EF iniciais,Q2,0.8001063384504624,0.1677470162190894,0.004495699527796298,0.0025258586430101687,2588
2017,EF iniciais,Q2,0.8066116667467231,0.16365967819148244,0.007875079835041387,0.0006908993151698197,2651
2018,EF iniciais,Q2,0.8191338394807541,0.1513075555203284,0.00989007307392716,0.0031359904160273284,2576
2019,EF iniciais,Q2,0.8192587970142173,0.1475709916808333,0.00559699135601286,0.0004895430231164145,2021
2020,EF iniciais,Q2,0.7419080846368544,0.24320716982208176,0.005419667191581681,8.191486140039995e-05,2509
2021,EF iniciais,Q2,0.8140573549078044,0.16972850304546677,0.005618851860649363,0.001605475586009227,1590
2022,EF iniciais,Q2,0.6975435981402183,0.288041922376514,0.0018953736404928006,0.0,2004
2023,EF iniciais,Q2,0.7284141169664076,0.25747998262098926,0.0015986575263992147,0.0010345818480007095,1893
2012,EF iniciais,Q3,0.7799382143649841,0.18228549331465674,0.008680287659864509,0.003288450675398867,2708
2013,EF iniciais,Q3,0.8080932599235574,0.15542176275713776,0.00885309475394142,0.0008799403150782236,2504
2014,EF iniciais,Q3,0.8275591347002742,0.14467921197146477,0.00468709861772998,0.000611631385628407,2440
2015,EF iniciais,Q3,0.816111751422131,0.15175834757834575,0.007976527742057586,0.000716121357287233,2528
2016,EF iniciais,Q3,0.825975075889215,0.1493350546392504,0.00396330485205193,0.0005561935694981485,2773
2017,EF iniciais,Q3,0.8539951213361424,0.12941986716081663,0.0039589140954075725,0.0005647455877089456,2521
2018,EF iniciais,Q3,0.8770492882205243,0.10340555037927039,0.004505838846887746,0.0007754399961214434,2415
2019,EF iniciais,Q3,0.8763931405073484,0.1041343179183403,0.0028694426807446506,0.0005698393242900893,1870
2020,EF iniciais,Q3,0.7672181935207518,0.2148256386782771,0.004836735386139586,0.0,1327
2021,EF iniciais,Q3,0.8364733816806477,0.15153178025727024,0.0006746720996906741,0.0,1663
