macroetapa,ano,categoria,valor,abandono,n
EM,2018,sexo,Mulher,0.042197314165511514,3123
EM,2018,raca,Branca,0.03863291358004918,2273
EM,2018,raca,Parda,0.06550745298618849,3539
EM,2018,raca,Preta,0.0913293261657408,454
EM,2019,sexo,Homem,0.06669574803564832,3118
EM,2019,sexo,Mulher,0.04949203199245881,3064
EM,2019,raca,Branca,0.03610216343168075,2282
EM,2019,raca,Parda,0.07429187875831042,3398
EM,2019,raca,Preta,0.06335881021187181,455
EM,2020,sexo,Homem,0.021377645512438172,2128
EM,2020,sexo,Mulher,0.011670524674879602,2066
EM,2020,raca,Branca,0.01729048223283793,1635
EM,2020,raca,Parda,0.01384591596782484,2201
EM,2020,raca,Preta,0.028443335315522428,326
EM,2021,sexo,Homem,0.026959821813162102,1577
EM,2021,sexo,Mulher,0.01848183447005043,1507
EM,2021,raca,Branca,0.007942478374445169,1114
EM,2021,raca,Parda,0.03602280552138236,1718
EM,2021,raca,Preta,0.019623705111577794,221
EM,2022,sexo,Homem,0.043316466964650975,2718
EM,2022,sexo,Mulher,0.03259707209434336,2442
EM,2022,raca,Branca,0.0333919847083005,1890
EM,2022,raca,Parda,0.03969752381492621,2800
EM,2022,raca,Preta,0.050538188973974864,418
EM,2023,sexo,Homem,0.02831885108677177,2650
EM,2023,sexo,Mulher,0.022349254754869957,2514
EM,2023,raca,Branca,0.014685668889376675,1874
EM,2023,raca,Parda,0.031161572968777723,2776
EM,2023,raca,Preta,0.04040779860136018,468
EM,2024,sexo,Homem,0.059287480624044396,2717
EM,2024,sexo,Mulher,0.04375501302719849,2537
EM,2024,raca,Branca,0.03455774024171841,1947
EM,2024,raca,Parda,0.0627539362460406,2829
EM,2024,raca,Preta,0.0705871595007674,428
