ano,idade,raca,sexo,em,n
2025,15,Preta,Mulher,0.0,1085
2025,16,Branca,Homem,0.006083917158436232,4673
2025,16,Branca,Mulher,0.005967366305719906,4835
2025,16,Parda,Homem,0.003562117376971742,8147
2025,16,Parda,Mulher,0.00576313360721667,7182
2025,16,Preta,Homem,0.005021444581112439,1333
2025,16,Preta,Mulher,0.004447143886149868,1027
2025,17,Branca,Homem,0.1028711552455499,4746
2025,17,Branca,Mulher,0.11466779214062023,4867
2025,17,Parda,Homem,0.07421657997847328,7920
2025,17,Parda,Mulher,0.09931565004361355,7070
2025,17,Preta,Homem,0.07994095452480252,1350
2025,17,Preta,Mulher,0.09360806804095141,1027
2025,18,Branca,Homem,0.5505239077531474,4640
2025,18,Branca,Mulher,0.6331316892695873,4779
2025,18,Parda,Homem,0.45990621648416147,7917
2025,18,Parda,Mulher,0.5397680591703986,7222
2025,18,Preta,Homem,0.3743838898545468,1370
2025,18,Preta,Mulher,0.5401068925415159,1230
2025,19,Branca,Homem,0.7590016510153027,4618
2025,19,Branca,Mulher,0.8391818803921415,4561
2025,19,Parda,Homem,0.6373056948182556,6983
2025,19,Parda,Mulher,0.7214196080641003,6599
2025,19,Preta,Homem,0.6235766927886781,1408
2025,19,Preta,Mulher,0.7132232725623743,1175
2025,20,Branca,Homem,0.8008975104800731,4528
2025,20,Branca,Mulher,0.8728995405634434,4552
2025,20,Parda,Homem,0.7084276221360291,6833
2025,20,Parda,Mulher,0.7799743422808052,6660
2025,20,Preta,Homem,0.6390634365332304,1381
2025,20,Preta,Mulher,0.7383918898683544,1169
2025,21,Branca,Homem,0.8368179650311152,4185
2025,21,Branca,Mulher,0.8843647058901654,4255
2025,21,Parda,Homem,0.7067900331167846,6384
2025,21,Parda,Mulher,0.7827171223727868,6424
2025,21,Preta,Homem,0.7080414003319404,1322
2025,21,Preta,Mulher,0.7766489377216855,1172
2025,22,Branca,Homem,0.8251770929833229,4274
2025,22,Branca,Mulher,0.8733768532867048,4222
2025,22,Parda,Homem,0.7037993983971326,6465
2025,22,Parda,Mulher,0.8073319946571091,6333
2025,22,Preta,Homem,0.7083259118315229,1453
2025,22,Preta,Mulher,0.7953943042606886,1296
2025,23,Branca,Homem,0.8170768199515154,4149
2025,23,Branca,Mulher,0.8854663422297467,4357
2025,23,Parda,Homem,0.6869087077204776,6275
2025,23,Parda,Mulher,0.7743271741602129,6648
2025,23,Preta,Homem,0.7180997819763545,1348
2025,23,Preta,Mulher,0.7834267078381384,1199
2025,24,Branca,Homem,0.8335553129652461,4448
2025,24,Branca,Mulher,0.8828496410745765,4565
2025,24,Parda,Homem,0.7087237186057338,6619
2025,24,Parda,Mulher,0.7803542292888079,6684
2025,24,Preta,Homem,0.7192163655963161,1481
2025,24,Preta,Mulher,0.8032157239892257,1285
