ano,serie,categoria,valor,defasado,n
2018,2o EF,raca,Parda,0.06241521638879417,3889
2018,2o EF,raca,Preta,0.041883992891724314,381
2018,2o EF,sexo,Homem,0.055092437370319276,3526
2018,2o EF,sexo,Mulher,0.03827193312305745,3319
2019,2o EF,raca,Branca,0.031720535259536574,2335
2019,2o EF,raca,Parda,0.04454327423122518,3697
2019,2o EF,raca,Preta,0.05276458705133785,414
2019,2o EF,sexo,Homem,0.04657980378685687,3364
2019,2o EF,sexo,Mulher,0.033670129602299245,3131
2020,2o EF,raca,Branca,0.027366379219386793,1644
2020,2o EF,raca,Parda,0.04417638296106229,2450
2020,2o EF,raca,Preta,0.03841271697877332,275
2020,2o EF,sexo,Homem,0.04315751561816356,2278
2020,2o EF,sexo,Mulher,0.031406782404547924,2125
2021,2o EF,raca,Branca,0.039866713282436926,1432
2021,2o EF,raca,Parda,0.0664170579951676,2161
2021,2o EF,raca,Preta,0.06024107689635907,228
2021,2o EF,sexo,Homem,0.05688650979218975,1963
2021,2o EF,sexo,Mulher,0.05403887892076479,1889
2022,2o EF,raca,Branca,0.03988552769085153,2053
2022,2o EF,raca,Parda,0.05866113212701183,2926
2022,2o EF,raca,Preta,0.0673649408827506,392
2022,2o EF,sexo,Homem,0.054704628330985924,2835
2022,2o EF,sexo,Mulher,0.04703943529325158,2595
2023,2o EF,raca,Branca,0.03507738363934879,2093
2023,2o EF,raca,Parda,0.055066504394403956,3095
2023,2o EF,raca,Preta,0.08178962568341977,400
2023,2o EF,sexo,Homem,0.05160539092659903,2921
2023,2o EF,sexo,Mulher,0.04639498639606334,2728
2024,2o EF,raca,Branca,0.04938495119786865,2097
2024,2o EF,raca,Parda,0.05402162871153321,3182
2024,2o EF,raca,Preta,0.06664211345986266,385
2024,2o EF,sexo,Homem,0.05614764015958143,2954
2024,2o EF,sexo,Mulher,0.0500223826498816,2766
2012,2o EM,raca,Branca,0.16007143077810404,2603
2012,2o EM,raca,Parda,0.24000430214694105,3468
2012,2o EM,raca,Preta,0.3051086005259541,343
2012,2o EM,sexo,Homem,0.2377237227494602,3045
2012,2o EM,sexo,Mulher,0.18116298578159973,3399
2013,2o EM,raca,Branca,0.14733312355207784,2435
2013,2o EM,raca,Parda,0.24456876805785896,3319
2013,2o EM,raca,Preta,0.33848158723825533,319
2013,2o EM,sexo,Homem,0.24754324774357814,2827
2013,2o EM,sexo,Mulher,0.16969542024595907,3265
2014,2o EM,raca,Branca,0.1505647823428789,2450
2014,2o EM,raca,Parda,0.23926244092791918,3258
2014,2o EM,raca,Preta,0.27517450689538336,305
2014,2o EM,sexo,Homem,0.22522813365988428,2893
2014,2o EM,sexo,Mulher,0.17952635570557554,3139
2015,2o EM,raca,Branca,0.1256211052211312,2394
2015,2o EM,raca,Parda,0.2313692911123315,3388
2015,2o EM,raca,Preta,0.25241952255827765,371
2015,2o EM,sexo,Homem,0.20621157923257175,3075
2015,2o EM,sexo,Mulher,0.16626925192254474,3111
2016,2o EM,raca,Branca,0.12268342353766985,2396
2016,2o EM,raca,Parda,0.21247562572578976,3603
2016,2o EM,raca,Preta,0.2790869328120094,430
2016,2o EM,sexo,Homem,0.20733932853497122,3222
2016,2o EM,sexo,Mulher,0.150294470201645,3250
2017,2o EM,raca,Branca,0.12755795566330955,2231
2017,2o EM,raca,Parda,0.1917998320971543,3574
2017,2o EM,raca,Preta,0.2965783901267016,424
2017,2o EM,sexo,Homem,0.20651168302554074,3176
2017,2o EM,sexo,Mulher,0.13868814744869157,3096
2018,2o EM,raca,Branca,0.10029540720101336,2131
2018,2o EM,raca,Parda,0.18440779459805187,3300
2018,2o EM,raca,Preta,0.2490187996941688,480
2018,2o EM,sexo,Homem,0.19397712991699106,2982
2018,2o EM,sexo,Mulher,0.1159848043828786,2982
2019,2o EM,raca,Branca,0.11635461566442175,2096
2019,2o EM,raca,Parda,0.2061486288517179,3275
2019,2o EM,raca,Preta,0.2278003762769008,441
2019,2o EM,sexo,Homem,0.1979431136254639,2910
2019,2o EM,sexo,Mulher,0.14822247554423723,2943
2020,2o EM,raca,Branca,0.12932490614222886,1551
2020,2o EM,raca,Parda,0.1724251825449617,2424
2020,2o EM,raca,Preta,0.2452395804587138,317
2020,2o EM,sexo,Homem,0.20451245179824487,2179
2020,2o EM,sexo,Mulher,0.11968234716714266,2141
2021,2o EM,raca,Branca,0.14391608773633124,1545
2021,2o EM,raca,Parda,0.20550848187746762,2320
2021,2o EM,raca,Preta,0.2210230224544584,296
2021,2o EM,sexo,Homem,0.19792234905648423,2085
2021,2o EM,sexo,Mulher,0.1643140574118625,2105
2022,2o EM,raca,Branca,0.09706538176638571,1986
2022,2o EM,raca,Parda,0.15317290397254163,2918
2022,2o EM,raca,Preta,0.18492242712698606,421
2022,2o EM,sexo,Homem,0.16060487310952115,2757
2022,2o EM,sexo,Mulher,0.10600395877210934,2610
2023,2o EM,raca,Branca,0.07646444556273722,1892
2023,2o EM,raca,Parda,0.13800847372343092,2847
2023,2o EM,raca,Preta,0.19813674214353577,472
2023,2o EM,sexo,Homem,0.1395586749423138,2634
2023,2o EM,sexo,Mulher,0.10018073109809039,2631
2024,2o EM,raca,Branca,0.08072631578031778,1978
2024,2o EM,raca,Parda,0.1377521271032014,2911
2024,2o EM,raca,Preta,0.18453361547649483,486
2024,2o EM,sexo,Homem,0.14405173238260902,2770
2024,2o EM,sexo,Mulher,0.09409584722796303,2660
2012,3o EF,raca,Branca,0.09010717826540213,3063
2012,3o EF,raca,Parda,0.19739662169494512,5197
2012,3o EF,raca,Preta,0.20265380806025812,447
2012,3o EF,sexo,Homem,0.18272053539371785,4666
2012,3o EF,sexo,Mulher,0.12024581512490685,4095
2013,3o EF,raca,Branca,0.08361294919405263,2783
2013,3o EF,raca,Parda,0.165012159508272,4635
2013,3o EF,raca,Preta,0.16273632235016358,355
2013,3o EF,sexo,Homem,0.1478931438810965,4227
2013,3o EF,sexo,Mulher,0.11146770281640986,3575
2014,3o EF,raca,Branca,0.07630959667421874,2534
2014,3o EF,raca,Parda,0.1336439312514764,4460
