ano,trim,etapa,freq_rate,n
2019,4,EJA EM,1.0,616
2020,1,EJA EM,1.0,580
2020,2,EJA EM,1.0,454
2020,3,EJA EM,1.0,418
2020,4,EJA EM,1.0,348
2021,1,EJA EM,1.0,302
2021,2,EJA EM,1.0,331
2021,3,EJA EM,1.0,424
2021,4,EJA EM,1.0,437
2022,1,EJA EM,1.0,443
2022,2,EJA EM,1.0,468
2022,3,EJA EM,1.0,462
2022,4,EJA EM,1.0,378
2023,1,EJA EM,1.0,408
2023,2,EJA EM,1.0,455
2023,3,EJA EM,1.0,430
2023,4,EJA EM,1.0,386
2024,1,EJA EM,1.0,399
2024,2,EJA EM,1.0,447
2024,3,EJA EM,1.0,438
2024,4,EJA EM,1.0,232
2012,1,Pre-escola,1.0,4440
2012,2,Pre-escola,1.0,6753
2012,3,Pre-escola,1.0,7908
2012,4,Pre-escola,1.0,8171
2013,1,Pre-escola,1.0,5534
2013,2,Pre-escola,1.0,6344
2013,3,Pre-escola,1.0,7437
2013,4,Pre-escola,1.0,7876
2014,1,Pre-escola,1.0,5304
2014,2,Pre-escola,1.0,5898
2014,3,Pre-escola,1.0,6979
2014,4,Pre-escola,1.0,7627
2015,1,Pre-escola,1.0,5060
2015,2,Pre-escola,1.0,5851
2015,3,Pre-escola,1.0,7083
2016,1,Pre-escola,1.0,5897
2016,2,Pre-escola,1.0,6855
2016,3,Pre-escola,1.0,7696
2016,4,Pre-escola,1.0,8574
2017,1,Pre-escola,1.0,5784
2017,2,Pre-escola,1.0,6719
2017,3,Pre-escola,1.0,7700
2017,4,Pre-escola,1.0,8166
2018,1,Pre-escola,1.0,5572
2018,2,Pre-escola,1.0,6308
2018,3,Pre-escola,1.0,7381
2018,4,Pre-escola,1.0,8007
2019,1,Pre-escola,1.0,5359
2019,2,Pre-escola,1.0,6446
2019,3,Pre-escola,1.0,7553
2019,4,Pre-escola,1.0,8095
2020,1,Pre-escola,1.0,4946
2020,2,Pre-escola,1.0,4493
2020,3,Pre-escola,1.0,4866
2020,4,Pre-escola,1.0,4748
2021,1,Pre-escola,1.0,3872
2021,2,Pre-escola,1.0,4401
2021,3,Pre-escola,1.0,5839
2021,4,Pre-escola,1.0,6621
2022,1,Pre-escola,1.0,5557
2022,2,Pre-escola,1.0,6401
2022,3,Pre-escola,1.0,7364
2022,4,Pre-escola,1.0,7831
2023,1,Pre-escola,1.0,6593
2023,2,Pre-escola,1.0,7153
2023,3,Pre-escola,1.0,7866
2023,4,Pre-escola,1.0,8286
2024,1,Pre-escola,1.0,7026
2024,2,Pre-escola,1.0,7651
2024,3,Pre-escola,1.0,8172
2024,4,Pre-escola,1.0,6014
