ano,idade,categoria,valor,ef,em,sup,n
2017,23,raca,Preta,0.8392830850695726,0.5986262281872863,0.04462933468636461,2787
2017,24,raca,Preta,0.8225331035172909,0.6058221391365898,0.07173356586551094,2746
2017,25,raca,Preta,0.8113681658862134,0.6085743118224819,0.07723478070851404,2678
2017,26,raca,Preta,0.8282301375379154,0.6281068293515398,0.11094284932271256,2774
2017,27,raca,Preta,0.8095540002973044,0.6090717383116158,0.10832239641020072,2630
2017,28,raca,Preta,0.7934419187255671,0.591759183619045,0.10792906230173595,2914
2017,29,raca,Preta,0.7990353759185693,0.6140476126699332,0.13155482473618738,2803
2019,14,raca,Preta,0.11177565909938292,0.0,0.0,2552
2019,15,raca,Preta,0.4746278498405229,0.0,0.0,2606
2019,16,raca,Preta,0.6872094974687972,0.011531201658902382,0.0,2737
2019,17,raca,Preta,0.788001789385039,0.11781643412848493,0.0,2906
2019,18,raca,Preta,0.857164348575709,0.41152232278356193,0.001955846069086679,3132
2019,19,raca,Preta,0.8740862779132383,0.5590351094724453,0.0024034717196832166,3095
2019,20,raca,Preta,0.853950890920371,0.6156744220933669,0.005894249589755544,3091
2019,21,raca,Preta,0.8519342600347937,0.6296835606010299,0.021290165797726256,2973
2019,22,raca,Preta,0.8518507661828575,0.6408016233700822,0.03874641459261556,2983
2019,23,raca,Preta,0.8508056155742727,0.6248282031587262,0.06012213894581563,2974
2019,24,raca,Preta,0.8431889644115577,0.6337450275713106,0.0856407761282376,2834
2019,25,raca,Preta,0.8339825404591843,0.6275609521495946,0.08074791374802105,2958
2019,26,raca,Preta,0.8385175428291206,0.6400355606398128,0.10625076721583726,2876
2019,27,raca,Preta,0.8366262690915186,0.6576154699009135,0.1249312011689728,2903
2019,28,raca,Preta,0.825880502833929,0.6363964676262069,0.12160455157738195,2692
2019,29,raca,Preta,0.8497849903207441,0.6661181787902993,0.1550653297746672,2741
2021,14,raca,Preta,0.07394089409703006,0.0,0.0,1596
2021,15,raca,Preta,0.4353131533154487,0.0,0.0,1627
2021,16,raca,Preta,0.7262709381166101,0.003415825282915483,0.0,1828
2021,17,raca,Preta,0.824792352366707,0.058429148344200516,0.0,1904
2021,18,raca,Preta,0.8501516450144714,0.3550719880571746,0.002100669512569837,1968
2021,19,raca,Preta,0.8718619849388978,0.5697857452570386,0.0015610225561153153,2096
2021,20,raca,Preta,0.88920910886358,0.6556242511599162,0.012885959888554574,2084
2021,21,raca,Preta,0.8714846213462257,0.6710204600848274,0.018483646468236338,2110
2021,22,raca,Preta,0.8912837634943255,0.7336343614419657,0.037302677314459,2084
2021,23,raca,Preta,0.882165462385826,0.6955707577121333,0.068121352620257,2064
2021,24,raca,Preta,0.8947228253111198,0.7190169746073389,0.1192899805001371,2030
2021,25,raca,Preta,0.8753053836734076,0.6848190905259727,0.12550580198828026,2047
2021,26,raca,Preta,0.8642889064025343,0.6901525042658159,0.1200883725087401,2038
2021,27,raca,Preta,0.876057876590584,0.6911316603273335,0.15400994395054934,1911
2021,28,raca,Preta,0.8761408070453423,0.7139190451219871,0.16478508105920453,1992
2021,29,raca,Preta,0.8553866388405197,0.6952780368855423,0.15394904382638716,1918
