ano,uf,regiao,em,n
2017,TO,N,0.6407155472481229,1641
2019,AC,N,0.6072216831625498,2422
2019,AL,NE,0.5166306484002312,4238
2019,AM,N,0.6026392539775436,3653
2019,AP,N,0.6585587156852097,1280
2019,BA,NE,0.5065706716222456,5056
2019,CE,NE,0.6459337689700011,5491
2019,DF,CO,0.7551203110752346,2101
2019,ES,SE,0.6448789936431758,3400
2019,GO,CO,0.6976115384309763,3274
2019,MA,NE,0.5918006965685667,7768
2019,MG,SE,0.6715028461279737,7066
2019,MS,CO,0.56257441681607,2117
2019,MT,CO,0.6467264183412124,2404
2019,PA,N,0.49829613239805504,4169
2019,PB,NE,0.5718963459312388,2645
2019,PE,NE,0.6520095700599507,4174
2019,PI,NE,0.6096752927182713,2447
2019,PR,S,0.6822433596161782,5103
2019,RJ,SE,0.6897402972980687,6748
2019,RN,NE,0.5672022546510164,2171
2019,RO,N,0.6231295116741622,1908
2019,RR,N,0.6975766162322597,1498
2019,RS,S,0.6334470014353245,4506
2019,SC,S,0.7093045891292967,5579
2019,SE,NE,0.5084756401211615,2188
2019,SP,SE,0.8000985380112088,7343
2019,TO,N,0.6698010666861068,1428
2021,AC,N,0.5862765557273851,1683
2021,AL,NE,0.5657965030139569,3334
2021,AM,N,0.6794000754641364,2959
2021,AP,N,0.6054044022249997,911
2021,BA,NE,0.5332606112603216,3834
2021,CE,NE,0.7191131125074909,3580
2021,DF,CO,0.7990169120270902,1531
2021,ES,SE,0.6745399654978951,2153
2021,GO,CO,0.7492972837079036,2325
2021,MA,NE,0.6552280453220602,5251
2021,MG,SE,0.6912227681453298,5435
2021,MS,CO,0.6201500673541408,1321
2021,MT,CO,0.6445135336559813,1795
2021,PA,N,0.5840376169613501,3009
2021,PB,NE,0.5700367606677433,1822
2021,PE,NE,0.6751183257324033,3154
2021,PI,NE,0.6615976466499613,1660
2021,PR,S,0.7318420558200375,3459
2021,RJ,SE,0.68583306771634,3824
2021,RN,NE,0.5438537516436811,1303
2021,RO,N,0.6248673187827363,1350
2021,RR,N,0.6545956760479262,1051
2021,RS,S,0.660878024537093,2984
2021,SC,S,0.7121044271716201,3582
2021,SE,NE,0.5570869071158712,1485
2021,SP,SE,0.8226173264484622,5050
2021,TO,N,0.7061414950900077,914
2023,AC,N,0.59237785226667,1821
2023,AL,NE,0.6322242022827239,3657
2023,AM,N,0.7094985929406653,2955
2023,AP,N,0.6788047634246991,935
2023,BA,NE,0.5881061657523976,3768
2023,CE,NE,0.7526834626442286,3759
2023,DF,CO,0.8028342945845593,1682
2023,ES,SE,0.6966937569508522,2574
2023,GO,CO,0.7851955456367853,2355
2023,MA,NE,0.6652552158943958,5908
2023,MG,SE,0.715498214636597,5322
2023,MS,CO,0.6627711860250505,1488
2023,MT,CO,0.6747727009659491,2105
2023,PA,N,0.5836402163854331,3415
2023,PB,NE,0.6415092931673836,2139
2023,PE,NE,0.6997859651469329,3288
2023,PI,NE,0.6462835622195187,1959
2023,PR,S,0.762492919403188,3825
2023,RJ,SE,0.750591865455426,4780
2023,RN,NE,0.6260868416501284,1514
2023,RO,N,0.68983136814519,1281
2023,RR,N,0.7335311880869253,1050
2023,RS,S,0.6735855260394868,3230
2023,SC,S,0.6982844063722645,4224
2023,SE,NE,0.6092106231270801,1477
2023,SP,SE,0.8258353565468054,5621
2023,TO,N,0.7330314951097805,1219
2025,AC,N,0.6349953419799048,1826
2025,AL,NE,0.669028413857271,3502
2025,AM,N,0.7730948389082043,2849
2025,AP,N,0.6673002274724303,868
2025,BA,NE,0.6960967478101396,3600
2025,CE,NE,0.7974482158024034,3588
2025,DF,CO,0.7975047790975349,1440
2025,ES,SE,0.7127985367407027,2607
2025,GO,CO,0.8225263221317392,2459
2025,MA,NE,0.7178464129205328,5630
2025,MG,SE,0.7618926005286569,5095
2025,MS,CO,0.6931663083081555,1546
2025,MT,CO,0.712201733987822,2073
2025,PA,N,0.6624076072204778,3236
2025,PB,NE,0.6521344140236557,2228
2025,PE,NE,0.7403977123226713,2939
2025,PI,NE,0.7236383419281412,1923
2025,PR,S,0.7983173243266518,3893
2025,RJ,SE,0.775579490081993,4518
2025,RN,NE,0.6612386022929665,1550
2025,RO,N,0.726483608467904,1226
2025,RR,N,0.7892761227308579,1116
2025,RS,S,0.7460906970148489,3114
2025,SC,S,0.749628480906724,4102
2025,SE,NE,0.6919275564789447,1475
2025,SP,SE,0.8515243323190668,5351
2025,TO,N,0.7562617565603998,1234
